words,links,capital_words,spam_word_count,is_spam
277,1,2,4,0
181,7,30,6,1
99,2,3,3,0
322,9,2,10,1
277,8,15,3,1
114,0,0,3,0
186,8,1,7,1
185,5,3,2,0
221,0,6,1,0
283,1,1,1,0
689,10,21,1,1
96,0,3,1,0
218,6,18,9,1
393,0,2,5,0
50,9,7,5,1
76,5,0,2,0
54,2,11,5,1
906,2,2,2,1
218,4,3,1,0
702,2,4,7,1
78,1,1,2,0
64,0,0,2,0
167,2,13,1,1
131,0,3,2,0
678,9,16,3,1
418,1,21,6,1
608,4,29,2,1
241,2,0,2,0
402,2,3,2,0
127,3,24,5,1
828,8,12,4,1
338,6,25,4,1
81,0,2,2,0
439,3,27,9,1
206,0,2,0,0
133,0,0,1,0
34,2,1,0,0
196,0,1,2,0
257,2,2,2,0
238,2,2,1,0
189,2,2,2,0
464,2,3,1,0
164,2,3,1,0
423,10,5,6,1
459,1,0,2,0
867,8,26,10,1
162,0,3,1,0
39,0,4,0,0
208,1,2,2,0
70,5,13,6,1
143,4,21,2,1
116,10,25,7,1
194,2,5,1,0
60,0,2,1,0
911,3,17,4,1
228,0,1,2,0
427,1,1,5,0
241,0,9,4,0
62,1,1,0,0
150,2,10,1,0
176,1,0,0,0
695,2,0,3,1
740,9,17,3,1
254,5,3,2,0
325,9,11,5,1
853,2,25,1,1
197,1,1,4,0
62,1,5,1,0
988,3,14,4,1
20,1,3,0,0
293,1,3,0,0
381,4,6,2,0
759,2,1,2,1
138,7,28,4,1
206,3,1,1,0
277,0,1,1,0
516,9,2,4,1
244,2,1,1,0
495,1,1,3,0
85,2,0,2,0
123,1,3,1,0
178,3,20,3,1
117,2,3,4,0
59,0,1,2,0
860,3,23,5,1
303,4,0,1,0
247,0,2,5,0
38,1,3,2,0
127,2,2,5,0
338,0,0,0,0
132,3,5,10,1
162,2,4,0,0
161,4,22,3,1
493,4,30,2,1
263,1,0,2,0
635,2,9,6,1
815,2,13,7,1
166,1,2,4,0
251,3,4,2,0
895,2,23,2,1
742,6,23,6,1
222,3,26,9,1
90,2,21,6,1
